CG8484 DAC027F18
DNAprim DAC030O06
CG17064 DAC037O17
CG9938 DAC027P11
CG9475 DAC006J24
E2f DAC029A10
NetA DAC015D08
His2Av DAC021N15
CG14545 DAC013C04
CG5250 DAC006C06
CG9184 DAC024B08
E2f2 DAC005E03
Nf1 DAC008I09
CG9752 DAC007A08
CG13914 DAC016L15
CG15700 DAC012B08
CG4015 DAC036G11
Dp DAC041K03
dnk DAC003D10
HmgD DAC019K24
neb DAC025P12
CG14434 DAC025I24
spn-E DAC033A24
Rbf DAC036L16
mus209 DAC024B16
Mcm3 DAC038E22
CG12936 DAC037D12
CG9114 DAC037L09
CG14036 DAC029K19
Rbf2 DAC005F12
Df31 DAC024E15
CG6349 DAC018D24
CG7341 DAC015H03
CG3163 DAC004J23
NtR DAC010F24
CG4924 DAC016E15
CG15261 DAC007L11
CG2916 DAC004A02
vas DAC033O06
stg DAC029E11
CG11301 DAC032N12
CG7730 DAC020G05
CG6999 DAC039I02
CG10331 DAC036K22
glob1 DAC040P19
CG13350 DAC016H15
CG11177 DAC032F08
CG2543 DAC030J17
CG4623 DAC041G15
Klp67A DAC011G04
CG3183 DAC032O13
CG13745 DAC039H10
CG11329 DAC005I13
CG14039 DAC029K21
CycE DAC021D24
CG3430 DAC040G08
CG8447 DAC031L01
CG6845 DAC023I21
Mcm7 DAC023H10
RfC40 DAC024I08
CG13084 DAC013F19
CG6790 DAC023E15
Ts DAC032M15
Orc5 DAC020O23
CG8399 DAC008O11
CG2887 DAC021O05
RfC3 DAC006G06
CG3658 DAC040M04
CG8316 DAC008I05
CG7997 DAC012O09
FK506-bp1 DAC038F05
CG14549 DAC013C08
CG9427 DAC006F12
CG10307 DAC028M09
CG14729 DAC005O02
CG6768 DAC023C19
CG10833 DAC023I10
CG6968 DAC018E07
CG7003 DAC010P12
CG12767 DAC033N18
CG14283 DAC009P05
CG2990 DAC004E22
Arp53D DAC030O02
CG12819 DAC017P02
CG2213 DAC030F21
CG3505 DAC027C22
dup DAC019A23
CG14193 DAC009H23
CG7628 DAC031O08
ncd DAC020O19
CG9740 DAC027B01
CG3105 DAC029J19
Mcm2 DAC036P18
CG12165 DAC011A07
CG17142 DAC003E07
CG7530 DAC031E20
CG10336 DAC028O11
Mcm5 DAC022H09
SMC2 DAC012C02
CG4584 DAC041C11
CG4584 DAC041C13
CG11788 DAC028B09
HmgZ DAC019I12
CG17288 DAC028L04
CG6018 DAC005D23
CG17286 DAC014C06
Cap-G DAC034N23
Cap-G DAC032M10
Cap-G DAC004K19
CG5949 DAC007O21
CG14857 DAC028I18
CG5602 DAC009H02
CG7593 DAC031K16
Chd3 DAC040D17
Orc2 DAC020L15
Fen1 DAC036F01
Pvr DAC008A09
CG17498 DAC017N19
CG11258 DAC032J14
CG7108 DAC018K10
Ote DAC003P12
CG13690 DAC039D10
CG13434 DAC015E24
CG8142 DAC026L06
Caf1-180 DAC030N04
Rrp1 DAC031B19
RnrL DAC023P18
Orc6 DAC008N05
CG13345 DAC013K05
CG10489 DAC025L01
CG7670 DAC020A23
CG9576 DAC040B21
CG3961 DAC021H04
spel1 DAC038G16
nod DAC038G07
CG2669 DAC021E07
CG11744 DAC018N19
RecQ4 DAC031C02
Hrb87F DAC033L20
Bub1 DAC019B08
CG15500 DAC009G24
CG15500 DAC018I23
CG15500 DAC039I23
CG15500 DAC018K11
CG15500 DAC018K23
CG15500 DAC018I21
CG15500 DAC039I21
CG15500 DAC018K09
CG15500 DAC018K21
CG15500 DAC033G20
CG15500 DAC018K07
CG15500 DAC018K19
CG15500 DAC018K05
CG15500 DAC018K17
CG15500 DAC009I04
CG15500 DAC018K03
CG15500 DAC018K15
CG15500 DAC039K03
CG15500 DAC009I02
CG15500 DAC018K01
CG15500 DAC018K13
CG15500 DAC039K01
CG10712 DAC020C20
CG11943 DAC035P07
cdc2c DAC025L11
pav DAC033B16
CG6805 DAC023G07
CG1888 DAC015L10
Orc1 DAC020C04
Map60 DAC020N10
polo DAC011K15
CG6874 DAC023M05
CG9273 DAC011D09
Chrac-14 DAC016P20
Chrac-14 DAC016P18
Hel25E DAC017O17
CG11451 DAC033L15
Slbp DAC028D21
CG8289 DAC019G07
CG5923 DAC007M13
CG10522 DAC025N05
dap DAC038M07
sd DAC027L04
CG1558 DAC033E21
CG6743 DAC018H10
RnrS DAC035P12
