GENE_SYMBOL	E2F1	E2F2	DP	RBF1	RBF2	RBF12	DIMOVA_CLASS
CG8484	-2.79	1	-2.33	1.02	0.79	2.45	A
NetA	-2.47	0.27	-2.08	-0.02	-0.27	0.76	A
Nf1	-1.04	0.72	-1.78	-0.83	-0.45	1.4	A
dnk	-2.03	-0.07	-1.71	1.24	0.15	1.23	A
mus209	-2.32	0.24	-1.55	1.02	0.18	1.03	A
Df31	-1.07	-0.06	-1.42	-0.46	-0.32	0.54	A
CG4924	-1.48	0.15	-1.35	-0.39	-0.2	0.05	A
stg	-0.85	0.12	-1.35	0.28	0.14	0.31	A
glob1	-1.58	0.15	-1.33	0.26	0.3	0.2	A
Klp67A	-1.41	0.32	-1.3	-0.23	-0.22	0.44	A
CycE	-1.35	-0.49	-1.29	0.51	-0.13	0.64	A
Mcm7	-2.18	0	-1.24	1.07	0	1.36	A
Ts	-2.5	0.33	-1.22	0.76	-0.09	1.21	A
RfC3	-0.86	-0.14	-1.17	0.27	0.13	0.05	A
FK506-bp1	-1.1	0.15	-1.16	0.14	0.02	0.28	A
CG14729	-1.03	0.64	-1.14	-0.63	-0.8	1.7	A
CG6968	-0.92	0.05	-1.11	-0.04	0.13	-0.39	A
CG14283	-1.07	-0.01	-1.07	0.42	0.31	-0.19	A
CG12819	-1.29	0.12	-1.06	-0.41	-0.35	0.03	A
dup	-2.2	-0.3	-1.04	0.76	-0.21	0.82	A
ncd	-1.45	0.18	-1.04	0.18	0	0.38	A
Mcm2	-2.02	0.17	-1.03	1.11	0.01	1.44	A
CG7530	-1.03	-0.07	-1.01	-0.4	-0.37	-0.34	A
Mcm5	-2.46	-0.05	-1.01	1.19	0.1	1.16	A
CG4584	-1.73	0.37	-1.01	0.91	0.31	0.76	A
HmgZ	-0.99	0.1	-1	0.57	0.3	0.08	A
CG6018	-1.28	0.28	-1	-0.13	-0.17	0.19	A
Cap-G	-0.94	-0.05	-0.97	0.05	-0.06	0.34	A
CG14857	-1.07	0	-0.96	-0.21	-0.33	-0.46	A
CG7593	-1.78	0.17	-0.96	0.96	0.4	0.72	A
Orc2	-1.78	0.43	-0.94	0.81	0.16	1.25	A
Pvr	-0.82	-0.02	-0.94	-0.25	-0.01	-0.47	A
CG11258	-1.08	0.18	-0.9	0.7	0.51	-0.01	A
Ote	-1.73	0.27	-0.88	0.08	-0.11	0.15	A
CG13434	-1	0.35	-0.88	0.33	0.36	0.37	A
Caf1-180	-1.02	-0.04	-0.88	0.92	-0.15	1	A
RnrL	-1.6	0.07	-0.83	0.76	-0.14	0.61	A
CG13345	-1.2	0.2	-0.83	0.26	0.02	0.47	A
CG7670	-3.25	-0.11	-0.83	0.69	-0.16	1.59	A
CG3961	-0.87	0.02	-0.83	-0.44	-0.32	0.19	A
nod	-0.92	-0.24	-0.82	-0.11	-0.03	0.38	A
CG11744	-0.86	0.07	-0.82	0.64	0.45	0.04	A
Hrb87F	-0.8	-0.12	-0.81	-0.36	-0.21	-0.1	A
CG15500	-0.95	-0.11	-0.8	0.2	0.04	0.11	A
CG10712	-0.81	-0.14	-0.8	0.26	0.01	0.27	A
CG11943	-0.91	-0.06	-0.8	0.4	0.01	0.09	A
